"","titulo","ano","citacoes"
"125","Efficient schemes for constructing reliable computing nodes in distributed systems",1998,6
"126","TMR processing without explicit clock synchronisation",1995,6
"127","A user-based model of grid computing workloads",2012,5
"128","Supporting e-science applications on e-infrastructures: Some use cases from latin america",2011,5
"129","Using heuristics to improve service portfolio selection in p2p grids",2009,5
"130","Scalable resource annotation in peer-to-peer grids",2008,5
"131","On the impact of the data redundancy strategy on the recoverability of friend-to-friend backup systems",2008,5
"132","On the impact of choice in multi-service P2P grids",2008,5
"133","Evaluating the impact of simultaneous round participation and decentralized decision on the performance of consensus",2007,5
"134","UsingWeb Services for Configuration and Deployment according to the CDDLM Standard",2006,5
"135","Efficient and robust adaptive consensus services based on oracles",2005,5
"136","Building a User‐Level Grid for Bag‐of‐Tasks Applications",2005,5
"137","Bouncer-Um Serviço Distribuído e Tolerante a Faltas para Controle de Licenças de Software",1997,5
"138","Atomic Broadcast Using Time-outs instead of Synchronised Time",1995,5
"139","Big data analytics for climate change and biodiversity in the EUBrazilCC federated cloud infrastructure",2015,4
"140","Grid Computing para la recuperación de datos climáticos",2013,4
"141","Beefs: Um sistema de arquivos distribuıdo posix barato e eficiente para redes locais",2010,4
"142","Análise de Estratégias de Computaç ao Verde em Grades Computacionais Oportunistas",2010,4
"143","On the evaluation of services selection algorithms in multi-service P2P grids",2009,4
"144","On the co-existence of service and opportunistic grids",2009,4
"145","Not so eXtreme programming: agile practices for R&D projects",2005,4
"146","Serviço de Comunicação Síncrona para Nodos Replicados",1997,4
"147","Task redundancy strategy based on volunteers’ credibility for volunteer thinking projects",2013,3
"148","On the accuracy of trace replay methods for file system evaluation",2013,3
"149","eScience-as-a-Service: Desafios e Oportunidades para a Criação de Nuvens Científicas",2011,3
"150","Democratizing resource-intensive e-science through peer-to-peer Grid computing",2011,3
"151","Bittorrent needs psychiatric guarantees: Quantifying how vulnerable bittorrent swarms are to sybil attacks",2009,3
"152","An e-Science platform for collaborative generation of knowledge and technology in hydrology, hydrogeology and water resources",2009,3
"153","Torrentlab: Um ambiente para avaliaçao do protocolo bittorrent",2008,3
"154","Solomon: Incentivando o Compartilhamento e Maior Disponibilidade em Sistemas de Armazenamento Entre-Pares",2008,3
"155","Sobre calotes e múltiplas personalidades no bittorrent",2007,3
"156","An initial assessment of cddlm",2006,3
"157","On the Design of the Seljuk-Amoeba Operating Environment",1997,3
"158","Considering human aspects on strategies for designing and managing distributed human computation",2014,2
"159","SOCIENTIZE participatory experiments, dissemination and networking activities in perspective'",2014,2
"160","Um arcabouço para provisionamento automático de recursos em provedores de iaas independente do tipo de aplicaç ao",2013,2
"161","Perspectives of UnaCloud: An Opportunistic Cloud Computing Solution for Facilitating Research",2012,2
"162","Evaluating the impact of planning long-term contracts on the management of a hybrid IT infrastructure",2011,2
"163","Computaç ao intensiva em dados com MapReduce em ambientes oportunistas",2011,2
"164","Estimando o Valor de uma Grade Entre Pares para a Execuç ao de Aplicaç oes do Tipo Saco de Tarefas",2011,2
"165","Increasing e-Infrastructure Usability: the EELA-2 experience",2010,2
"166","Smarter Heuristics for Business-Driven Services Selection in Multi-services P2P Grids",2010,2
"167","Beefs: A cheaper and naturally scalable distributed file system for corporate environments",2010,2
"168","Brief Announcement: Induced Churn to Face Adversarial Behavior in Peer-to-Peer Systems",2009,2
"169","Bridging OurGrid-based and gLite-based Grid infrastructures",2009,2
"170","AutoMan: Gerência Automática no OurGrid",2007,2
"171","Avaliação da eficácia de um algoritmo genético para escalonamento de bombas em adutoras",2005,2
"172","A hierarchical failure detection service with perferct semantics",2002,2
"173","Bouncer: A Robust and Flexible License Management Service for Avoiding Illegal Use of Software",2001,2
"174","A Practical Approach to Validate the Design of Fault-Tolerant Distributed Protocols for Asynchronous Systems",2001,2
"175","A Formação e a Prática do Profissional de Programação: Discussão de Estratégias para a Aprendizagem Continuada",1998,2
"176","A Software Approach to the Construction of Fail-Controlled Nodes for Distributed Systems",1995,2
"177","Authenticated Agreement Protocols without Explicit Clock Synchronisation",1995,2
"178","A study on the errors and uncertainties of file system trace capture methods",2016,1
"179","Fogbow: A Middleware for the Federation of IaaS Clouds",2016,1
"180","File system trace replay methods through the lens of metrology",2016,1
"181","Using fogbow to federate private clouds",2015,1
"182","Uma nuvem privada oportunista para execução de aplicações Bag-of-Tasks",2013,1
"183","Just-in-time clouds uma abordagem para federaçao de clouds privadas",2013,1
"184","Sobre o Uso de Dispositivos de Alta Granularidade, Alta Volatilidade e Alta Dispersao em Just in Time Clouds",2013,1
"185","OddCI-Ginga: Uma Plataforma para Computação de Alta Vazão baseada em Receptores de TV Digital",2012,1
"186","Uma Nova Polıtica de Incentivos para Grades Computacionais Entre-Pares",2011,1
"187","Usando as estratégias sobreaviso e hibernaçao para economizar energia em grades computacionais oportunistas",2011,1
"188","TVGrid: computaçao em grid utilizando recursos de uma rede de TV digital",2008,1
"189","Escalonamento Tolerante a Sabotagem em Grades Computacionais Entre-Pares",2007,1
"190","Engineering a Failure Detection Service for Widely Distributed Systems",2007,1
"191","Implementing Computer-Supported Learning in Corporations",2007,1
"192","Towards the Educational Semantic Web",2007,1
"193","Uma Arquitetura de Redes Virtuais para um Grid Aberto e Seguro",2007,1
"194","Can dynamic provisioning and rejuvenation systems coexist in peace?",2005,1
"195","Otimização da operação de redes de adução de água utilizando algoritmos genéticos",2005,1
"196","Otimizaçao do Controle de Redes de Escoamento de Petróleo",2005,1
"197","Performance analysis of adaptive consensus protocols based on slowness oracles",2004,1
"198","The OurGrid Project: Running Bag-of-Tasks Applications on Computational Grids",2003,1
"199","Automatização de um método gráfico para associação de bombas em malhas de dutos para escoamento de petróleo",2003,1
"200","Implementando Aplicações Distribuídas Robustas Utilizando os Serviços para Tolerância a Falhas de Micro-núcleos Distribuídos",1996,1
"201","A Science gateway for biodiversity and climate change research",2017,0
"202","Instance Type Selection in Proactive Horizontal Auto-Scaling",2016,0
"203","Federation of Private IaaS Cloud Providers through the Barter of Resources",2016,0
"204","EUBrazilCC Federated Cloud: A Transatlantic Multi-Cloud Infrastructure",2016,0
"205","Flexible Federation of Cloud Providers: The EUBrazil Cloud Connect Approach",2016,0
"206","Cell Spotting: educational and motivational outcomes of cell biology citizen science project in the classroom",2016,0
"207","Digi-Clima Grid: image processing and distributed computing for recovering historical climate data.",2015,0
"208","Prediction-Based Admission Control for IaaS Clouds with Multiple Service Classes",2015,0
"209","Adaptive Task Replication Strategy for Human Computation",2014,0
"210","BitTorrent traffic from a caching perspective",2013,0
"211","On the Dynamics of Micro-and Macro-task Human Computation Markets",2013,0
"212","OddCI-Ginga: A Platform for High Throughput Computing Using Digital TV Receivers",2012,0
"213","Using Broadcast Networks to Create On-demand Extremely Large Scale High-throughput Computing Infrastructures",2012,0
"214","Open, Scalable and Self-Regulated Federations of Desktop Grids with OurGrid",2012,0
"215","Workshop on Desktop Grids and Volunteer Computing Systems-PCGrid",2011,0
"216","Approach to sustainable e-Infrastructures-The case of the Latin American Grid",2010,0
"217","DOI: 10.1142/S0129054111008593 DEPENDABILITY EVALUATION OF CLUSTER-BASED DISTRIBUTED SYSTEMS∗",2010,0
"218","Dependability Evaluation of Cluster-based Systems",2010,0
"219","Induced Churn to Face Adversarial Behavior in Peer-to-Peer Systems",2009,0
"220","End of Volume Reviewer Index",2009,0
"221","Induced Churn to Face Adversarial Behavior in Peer-to-Peer Systems. Brief announcement",2009,0
"222","Using a file working set model to speed up the recovery of Peer-to-Peer backup systems",2008,0
"223","Proceedings of the 3rd Latin-American symposium on Dependable Computing",2007,0
"224","Dependable Computing: Third Latin-American Symposium, LADC 2007, Morelia, Mexico, September 26-28, 2007, Proceedings",2007,0
"225","Using Open Archives and Learning Objectives for Reusing CSL Contents: The SCORM-Sharable Content Object Reference Model",2007,0
"226","Integrating Visual Representaiton of Knowledge with Learnig Management Syatems: Design Priciples for Advanced Computer-Based Learning Support",2007,0
"227","Video annotation in online collaborative discussion: A constructivist tool for computer-supported learning",2007,0
"228","Balancing Tradeoffs in Designing, Deploying, and Authoring Interactive Web-Based Learn-By-Doing Environments",2007,0
"229","Enabling Execution of Parallel Applications Across Multiple Sites",2006,0
"230","On the Implmenentation of OurGrid VNET Deployment Mechanism",2006,0
"231","Sybil Attacks on the Network of Favors",2006,0
"232","When Can an Autonomous Reputation Scheme Discourage Free-riding in a Peer-to-Peer System?",2005,0
"233","Autonomous reputation for equitable peer-to-peer resource sharing among eager consumers",2005,0
"234","CENTRO DE CIÊNCIAS E TECNOLOGIA COORDENAÇÃO DE PÓS-GRADUAÇÃO EM INFORMÁTICA",2005,0
"235","Sistema computacional para simulação e otimização do escoamento de petróleo em redes de tubulações em tempo real",2005,0
"236","Using process restarts to improve dynamic provisioning",2004,0
"237","Efficient and robust adaptive consensus services based on oracles",2004,0
"238","Effective Integration of Computer-Supported Collaborative Learning into Knowledge Management Structures: A Model and an Evaluation Framework",2004,0
"239","Second Workshop on Theses and Dissertations in Dependable Computing",2003,0
"240","Effective Integration of Computer-Supported Collaborative Learning into Knowledge Management Structures",2003,0
"241","Usando Replicação PARA Escalonar Aplicações Bag-OF-Tasks EM Grids Computacionais",2003,0
"242","MONITORAMENTO E CONTROLE INTELIGENTES E EM TEMPO REAL DE REDES DE ESCOAMENTO DE PETRÓLEO",2003,0
"243","Using coloured Petri nets to evaluate the impact of the QoS of failure detectors in the performance of a consensus protocol",2002,0
"244","Solving the group priority inversion problem in a timed asynchronous system",2001,0
"245","Mirroring Resources in the World Wide Web",1998,0
"246","Applying coloured Petri nets to analyze fail silent nodes in distributed systems",1998,0
"247","Reliable processing on the Seljuk-Amoeba operating environment",1997,0
"248","Timeout Based Message Ordering Protocols for Software Implementation of TMR Systems",1997,0
"249","Pensamento Computacional: Um estudo empírico sobre as questões de matemática do PISA",2015,4
"250","Suporte à evolução e testes no BeeFS",2012,1
"251","Can Computational Thinking help me? A quantitative study of its effects on education",2016,0
"252","Influences on cooperation in bittorrent communities",2005,191
"253","Peer-to-peer grid computing with the ourgrid community",2005,102
"254","Individual and social behavior in tagging systems",2009,58
"255","Gifting technologies: A BitTorrent case study",2006,45
"256","Peer selection strategies for improved QoS in heterogeneous BitTorrent-like VoD systems",2010,37
"257","Improving accuracy and coverage in an internet-deployed reputation mechanism",2010,18
"258","A link prediction approach to recommendations in large-scale user-generated content systems",2011,16
"259","Personalizing eigentrust in the face of communities and centrality attack",2012,13
"260","Inter-swarm resource allocation in BitTorrent communities",2011,13
"261","SybilRes: A Sybil-resilient flow-based decentralized reputation mechanism",2012,12
"262","Eficiência de fungicidas para controle da ferrugem asiática da soja, Phakopsora pachyrhizi, na safra 2006/07",2007,11
"263","Enabling cross-layer optimizations in storage systems with custom metadata",2008,10
"264","Leveraging trust and distrust for sybil-tolerant voting in online social media",2012,7
"265","On swarm-level resource allocation in BitTorrent communities",2013,5
"266","The Relevance of Annotations Shared by Tourists and Residents on a Geo-Social Network During a Large-Scale Touristic Event: The Case of São João",2014,4
"267","The OurGrid Protocol: a resource sharing protocol for computational grids",2003,4
"268","O acesso às políticas públicas no semiárido e seu reflexo na heterogeneidade da agricultura familiar: o PNAE em Boquira-BA",2015,3
"269","A case study of contributor behavior in Q&A site and tags: the importance of prominent profiles in community productivity",2014,3
"270","O uso de uma rede geossocial nas cidades brasileiras e sua relação com fatores socioeconômicos",2013,3
"271","Investment strategies for credit-based P2P communities",2013,3
"272","Reuse, temporal dynamics, interest sharing, and collaboration in social tagging systems",2013,3
"273","Mining online music listening trajectories",2016,2
"274","Social networks meet distributed systems: Towards a robust sybil defense under churn",2015,2
"275","Exploring the Relation Between Novelty Aspects and Preferences in Music Listening",2013,2
"276","Ativistas, passageiros, ocasionais e especialistas: perfis de usuário na construção de um site de Q&A",2011,2
"277","A comprehensive 3G link level simulator",2002,2
"278","Dimensions, mass and volume of the liver of turtles (Trachemys scripta elegans WIED, 1839)",2011,1
"279","Measuring Effectiveness of Mechanisms for Promoting Cooperation in BitTorrent",2008,1
"280","A pequena produção de leite e o setor queijeiro no estado de sergipe",2003,1
"281","Participation Differences in Q&A Sites Across Countries: Opportunities for Cultural Adaptation",2016,0
"282","Exploring the Latent Structure of Collaborations in Music Recordings: a Case Study in Jazz",2016,0
"283","Assessing the Value of Peer-Produced Information for Exploratory Search",2015,0
"284","Evaluating Conflict Management Mechanisms for Online Social Jukeboxes.",2015,0
"285","A Linked Open Data Approach for Feature Based Diversification in Music Recommendation Systems",2012,0
"286","Previsão de horários dos ônibus do sistema de transporte público coletivo da cidade de Campina Grande",2012,0
"287","Relatório de Estágio Curricular–Global Wines/Dão Sul-Quinta do Encontro-Carregal do Sal",2011,0
"288","ThriftyTorrent: Cheap P2P software patch distribution for enterprise networks",2009,0
"289","Distribuiçao de Conteudo Entre-pares em Perspectiva: Um Estudo sobre Carga, Compartilhamento e Qualidade de Serviço em Comunidades BitTorrent",2008,0
"290","Keyword (s)",2006,0
"291","Programa cantar",1997,0
"292","The use of scanning electron microscope to identify expansive reaction products in concrete",1996,0
"293","Melhores práticas para Gerência de Redes de Computadores",2003,42
"294","Assessing data deduplication trade-offs from an energy and performance perspective",2011,15
"295","Business-Driven Long-Term Capacity Planning for SaaS Applications",2015,4
"296","Towards practical auto scaling of user facing applications",2012,3
"297","Planejamento de capacidade a longo prazo dirigido por métricas de negócio para aplicaç oes saas",2013,1
"298","Distributed test agents: a pattern for the development of automatic system tests for distributed applications",2012,1
"299","Adaptive computing on the grid using AppLeS",2003,575
"300","A comprehensive model of the supercomputer workload",2001,160
"301","Benchmarks and standards for the evaluation of parallel job schedulers",1999,146
"302","A model for moldable supercomputer jobs",2001,126
"303","Using moldability to improve the performance of supercomputer jobs",2002,96
"304","Adaptive selection of partition size for supercomputer requests",2000,55
"305","When the herd is smart: aggregate behavior in the selection of job request",2003,42
"306","Grids computacionais: Arquiteturas, tecnologias e aplicações",2003,35
"307","Open Grid: A user-centric approach for grid computing",2001,30
"308","MyGrid: A complete solution for running bag-of-tasks applications",2004,28
"309","Grids Computacionais: da Computaç ao de Alto Desempenho a Serviços sob Demanda",2005,23
"310","The seghidro experience: Using the grid to empower a hydro-meteorological scientific network",2005,22
"311","Non-dedicated distributed environment: A solution for safe and continuous exploitation of idle cycles",2001,21
"312","Independently auditing service level agreements in the grid",2004,13
"313","Security issues in agent based computing",1997,13
"314","Transparent resource allocation to exploit idle cluster nodes in computational grids",2005,12
"315","AnthillSched: A scheduling strategy for irregular and iterative I/O-intensive parallel jobs",2005,9
"316","Maintenance techniques for an intelligent alarm processing system",2005,7
"317","When the herd is smart: The emergent behavior of sa",2002,5
"318","The SegHidro Experience: Using the Grid to Empower a HydroMeteorological",2005,4
"319","Response time analysis of gang scheduling for real time systems",2002,4
"320","Application scheduling over supercomputers: A proposal",1999,3
"321","Converting space shared resources into intermittent resources for use in bag-of-tasks Grids",2005,2
"322","Computação em Grade: Conceitos, Tecnologias, Aplicações e Tendências",2005,2
"323","Acoplamento operacional de modelos atmosféricos, hidrológicos e de gerenciamento de recursos hídricos “",2005,2
"324","Utilização do software MyGrid para adaptar uma aplicação de dinâmica molecular em uma Grade Computacional.",2003,2
"325","Study of HIV-1 Protease Mutants Using Molecular Dynamics in a Grid Based Computational Plataform",2003,2
"326","The portalgiga project",2005,1
"327","Hiding Grid Resources Behind Brokers",2004,0
"328","Erick B. PASSOS",2003,0
"329","Different perspectives on economic base",1999,0
"330","Chimichanga: A Fault Tolerant Asynchronous Communication Infrastructure for Mobile Agents",1998,0
